region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
경상남도 고성군,4,1403.0,889.0,514.0,74.0,142,350.75,18.95945945945946,9.880281690140846,46901,81,3052,1315565,57.73342836778332,8.52860280164602,29.914074326773417,0.6336421952957947,0.36635780470420526,2025 high schools only for school-level metrics
경상남도 김해시,23,15591.0,7715.0,7876.0,630.0,1208,677.8695652173913,24.747619047619047,12.906456953642385,532715,1599,68667,1443213,102.55916875120262,4.31750560806435,29.26705649362229,0.4948367648002052,0.5051632351997948,2025 high schools only for school-level metrics
경상남도 남해군,6,1227.0,627.0,600.0,71.0,143,204.5,17.281690140845072,8.58041958041958,40887,46,1423,1335958,37.489812550937245,14.674590945777387,30.009538484114753,0.511002444987775,0.4889975550122249,2025 high schools only for school-level metrics
경상남도 밀양시,8,2510.0,1337.0,1173.0,119.0,237,313.75,21.092436974789916,10.59071729957806,98901,203,6083,1316622,80.87649402390439,8.088896977785867,25.378914267803157,0.5326693227091633,0.46733067729083666,2025 high schools only for school-level metrics
경상남도 사천시,9,3019.0,1552.0,1467.0,144.0,284,335.44444444444446,20.96527777777778,10.630281690140846,107889,261,13190,1368427,86.45246770453794,8.34190695993104,27.98246345781312,0.5140775091089764,0.4859224908910235,2025 high schools only for school-level metrics
경상남도 산청군,7,738.0,346.0,392.0,47.0,112,105.42857142857143,15.702127659574469,6.589285714285714,32679,27,1067,1351744,36.58536585365854,21.420484102940726,22.583310382814652,0.46883468834688347,0.5311653116531165,2025 high schools only for school-level metrics
경상남도 양산시,13,10291.0,5109.0,5182.0,356.0,675,791.6153846153846,28.90730337078652,15.245925925925926,361336,999,42629,1424024,97.0751141774366,3.5977594261296963,28.480417118692852,0.49645321154406763,0.5035467884559324,2025 high schools only for school-level metrics
경상남도 의령군,3,393.0,184.0,209.0,23.0,52,131.0,17.08695652173913,7.5576923076923075,24531,22,864,1335466,55.97964376590331,12.229423994129878,16.02054543231014,0.4681933842239186,0.5318066157760815,2025 high schools only for school-level metrics
경상남도 진주시,21,9868.0,5208.0,4660.0,457.0,898,469.9047619047619,21.592997811816193,10.988864142538976,335108,1237,50797,1385976,125.35468179975679,6.266636427659142,29.447222984828773,0.5277665180381029,0.472233481961897,2025 high schools only for school-level metrics
경상남도 창녕군,8,1715.0,945.0,770.0,90.0,186,214.375,19.055555555555557,9.220430107526882,54883,82,2126,1356078,47.8134110787172,14.57646265692473,31.24829182078239,0.5510204081632653,0.4489795918367347,2025 high schools only for school-level metrics
경상남도 창원시,48,26385.0,13861.0,12524.0,1151.0,2215,549.6875,22.92354474370113,11.91196388261851,183906,3003,95743,1425857,113.8146674246731,26.10029036573032,143.47003360412387,0.5253363653591056,0.47466363464089445,2025 high schools only for school-level metrics
경상남도 통영시,5,3538.0,1779.0,1759.0,140.0,264,707.6,25.271428571428572,13.401515151515152,116208,271,10806,1357752,76.59694742792539,4.302629767313782,30.445408233512325,0.5028264556246467,0.4971735443753533,2025 high schools only for school-level metrics
경상남도 하동군,5,564.0,313.0,251.0,38.0,83,112.8,14.842105263157896,6.795180722891566,39835,41,1857,1370607,72.6950354609929,12.551776076314798,14.158403414083093,0.5549645390070922,0.4450354609929078,2025 high schools only for school-level metrics
경상남도 함안군,5,1428.0,703.0,725.0,65.0,136,285.6,21.96923076923077,10.5,57345,110,4430,1424365,77.03081232492998,8.719155985700585,24.90190949516087,0.49229691876750703,0.507703081232493,2025 high schools only for school-level metrics
경상남도 함양군,4,740.0,389.0,351.0,45.0,89,185.0,16.444444444444443,8.314606741573034,35388,60,1354,1361140,81.08108108108108,11.303266644060134,20.911043291511245,0.5256756756756756,0.4743243243243243,2025 high schools only for school-level metrics
경상남도 합천군,6,696.0,394.0,302.0,44.0,98,116.0,15.818181818181818,7.1020408163265305,39011,39,1095,1366202,56.03448275862069,15.380277357668351,17.841121734895285,0.5660919540229885,0.4339080459770115,2025 high schools only for school-level metrics
경상북도 경산시,12,5803.0,3000.0,2803.0,245.0,483,483.5833333333333,23.685714285714287,12.014492753623188,263316,671,24153,1391194,115.6298466310529,4.557261996992207,22.03815947378815,0.5169739789763915,0.4830260210236085,2025 high schools only for school-level metrics
경상북도 경주시,19,6691.0,3732.0,2959.0,341.0,670,352.1578947368421,19.621700879765395,9.986567164179105,243462,556,19758,1447358,83.09669705574653,7.804092630472107,27.482728310783614,0.5577641608130325,0.44223583918696757,2025 high schools only for school-level metrics
경상북도 고령군,2,404.0,235.0,169.0,22.0,45,202.0,18.363636363636363,8.977777777777778,29625,32,925,1365279,79.20792079207921,6.751054852320675,13.637130801687764,0.5816831683168316,0.4183168316831683,2025 high schools only for school-level metrics
경상북도 구미시,21,12290.0,6248.0,6042.0,554.0,1146,585.2380952380952,22.184115523465703,10.724258289703316,403254,1285,53551,1413825,104.55655004068348,5.207635882099124,30.477069043332488,0.5083807973962571,0.49161920260374287,2025 high schools only for school-level metrics
경상북도 김천시,10,3881.0,2331.0,1550.0,185.0,363,388.1,20.978378378378377,10.69146005509642,133080,258,8573,1367005,66.47771192991497,7.514277126540426,29.162909528103395,0.6006183973202783,0.3993816026797217,2025 high schools only for school-level metrics
경상북도 문경시,6,1436.0,814.0,622.0,79.0,164,239.33333333333334,18.17721518987342,8.75609756097561,64989,96,2747,1399404,66.85236768802228,9.232331625351982,22.09604702334241,0.5668523676880223,0.4331476323119777,2025 high schools only for school-level metrics
